Index;Sexe;lv1;lv2;spe1;spe2;option1;option2
1;G;ANGLAIS LV1; ESPAGNOL LV2; SC. ECONO.& SOCIALES; MATHEMATIQUES;;
2;G;ANGLAIS LV1; ALLEMAND LV2; HIST.GEO.GEOPOL.S.P.; MATHEMATIQUES;;
3;G;ANGLAIS LV1; ESPAGNOL LV2; MATHEMATIQUES; PHYSIQUE-CHIMIE; MATHS EXPERTES; ANGLAIS LV SECTION
4;F;ANGLAIS LV1; ESPAGNOL LV2; ARTS PLASTIQUES; HUMAN.LITTER.PHILO.;;
5;G;ANGLAIS LV1; ALLEMAND LV2; HIST.GEO.GEOPOL.S.P.; SC. ECONO.& SOCIALES; MATHS COMPLEMENTAIRE;
6;F;ANGLAIS LV1; ARABE LV2 CORRESP.; SC. ECONO.& SOCIALES; HIST.GEO.GEOPOL.S.P.; MATHS COMPLEMENTAIRE; ANGLAIS LV SECTION
7;F;ANGLAIS LV1; ESPAGNOL LV2; HIST.GEO.GEOPOL.S.P.; SC. ECONO.& SOCIALES;;
8;G;ANGLAIS LV1; ESPAGNOL LV2; HIST.GEO.GEOPOL.S.P.; SC. ECONO.& SOCIALES; MATHS COMPLEMENTAIRE;
9;F;ANGLAIS LV1; ESPAGNOL LV2; MATHEMATIQUES; SCIENCES VIE & TERRE; HANDBALL;
10;G;ANGLAIS LV1; ESPAGNOL LV2; SC. ECONO.& SOCIALES; HIST.GEO.GEOPOL.S.P.; MATHS COMPLEMENTAIRE; ANGLAIS LV SECTION
11;G;ANGLAIS LV1; ITALIEN LV2; PHYSIQUE-CHIMIE; SCIENCES VIE & TERRE; MATHS COMPLEMENTAIRE; HANDBALL
12;F;ANGLAIS LV1; ESPAGNOL LV2; HIST.GEO.GEOPOL.S.P.; MATHEMATIQUES; MATHS EXPERTES; LCA GREC HORS ETAB.
13;F;ANGLAIS LV1; ESPAGNOL LV2; SC. ECONO.& SOCIALES; ARTS PLASTIQUES;;
14;G;ANGLAIS LV1; ESPAGNOL LV2; MATHEMATIQUES; SCIENCES VIE & TERRE; ED.PHYSIQUE & SPORT.;
15;G;ANGLAIS LV1; ESPAGNOL LV2; MATHEMATIQUES; SCIENCES VIE & TERRE; HANDBALL;
16;G;ANGLAIS LV1; ESPAGNOL LV2; MATHEMATIQUES; HIST.GEO.GEOPOL.S.P.;;
17;F;ANGLAIS LV1; ESPAGNOL LV2; HIST.GEO.GEOPOL.S.P.; SC. ECONO.& SOCIALES;;
18;F;ANGLAIS LV1; ESPAGNOL LV2; SC. ECONO.& SOCIALES; HIST.GEO.GEOPOL.S.P.;;
19;F;ANGLAIS LV1; ITALIEN LV2; SC. ECONO.& SOCIALES; MATHEMATIQUES; ANGLAIS LV SECTION;
20;G;ANGLAIS LV1; ALLEMAND LV2; PHYSIQUE-CHIMIE; MATHEMATIQUES;;
21;F;ANGLAIS LV1; ESPAGNOL LV2; SC. ECONO.& SOCIALES; HIST.GEO.GEOPOL.S.P.; MATHS COMPLEMENTAIRE;
22;F;ANGLAIS LV1; ESPAGNOL LV2; HUMAN.LITTER.PHILO.; SC. ECONO.& SOCIALES; ANGLAIS LV SECTION;
23;G;ANGLAIS LV1; ESPAGNOL LV2; HIST.GEO.GEOPOL.S.P.; SC. ECONO.& SOCIALES; MATHS COMPLEMENTAIRE;
24;G;ANGLAIS LV1; ESPAGNOL LV2; HIST.GEO.GEOPOL.S.P.; SC. ECONO.& SOCIALES; HANDBALL;
25;G;ANGLAIS LV1; ESPAGNOL LV2; MATHEMATIQUES; NUMERIQUE SC.INFORM.;;
26;G;ANGLAIS LV1; ESPAGNOL LV2; SC. ECONO.& SOCIALES; HIST.GEO.GEOPOL.S.P.; MATHS COMPLEMENTAIRE;
27;G;ANGLAIS LV1; ESPAGNOL LV2; SC. ECONO.& SOCIALES; MATHEMATIQUES;;
28;G;ANGLAIS LV1; ESPAGNOL LV2; MATHEMATIQUES; SC. ECONO.& SOCIALES;;
29;G;ANGLAIS LV1; ALLEMAND LV2; SC. ECONO.& SOCIALES; HIST.GEO.GEOPOL.S.P.; MATHS COMPLEMENTAIRE;
30;G;ANGLAIS LV1; ESPAGNOL LV2; MATHEMATIQUES; PHYSIQUE-CHIMIE;;
31;F;ANGLAIS LV1; ESPAGNOL LV2; MATHEMATIQUES; PHYSIQUE-CHIMIE; ANGLAIS LV SECTION; MATHS EXPERTES
32;G;ANGLAIS LV1; ALLEMAND LV2; SC. ECONO.& SOCIALES; HIST.GEO.GEOPOL.S.P.; MATHS COMPLEMENTAIRE;
33;G;ANGLAIS LV1; ESPAGNOL LV2; MATHEMATIQUES; NUMERIQUE SC.INFORM.;;
34;F;ANGLAIS LV1; ESPAGNOL LV2; MATHEMATIQUES; HIST.GEO.GEOPOL.S.P.;;
35;G;ANGLAIS LV1; ESPAGNOL LV2; ARTS PLASTIQUES; SCIENCES VIE & TERRE;;
36;G;ANGLAIS LV1; CHINOIS LV2; MATHEMATIQUES; NUMERIQUE SC.INFORM.;;
37;G;ANGLAIS LV1; ESPAGNOL LV2; HIST.GEO.GEOPOL.S.P.; SC. ECONO.& SOCIALES; MATHS COMPLEMENTAIRE;
38;G;ANGLAIS LV1; ESPAGNOL LV2; MATHEMATIQUES; PHYSIQUE-CHIMIE; MATHS EXPERTES; HANDBALL
39;F;ANGLAIS LV1; ALLEMAND LV2; MATHEMATIQUES; PHYSIQUE-CHIMIE;;
40;F;ANGLAIS LV1; ESPAGNOL LV2; HIST.GEO.GEOPOL.S.P.; SC. ECONO.& SOCIALES;;
41;F;ANGLAIS LV1; ESPAGNOL LV2; MATHEMATIQUES; PHYSIQUE-CHIMIE; MATHS EXPERTES;
42;F;ANGLAIS LV1; ESPAGNOL LV2; MATHEMATIQUES; SCIENCES VIE & TERRE;;
43;G;ANGLAIS LV1; ESPAGNOL LV2; MATHEMATIQUES; SC. ECONO.& SOCIALES;;
44;F;ANGLAIS LV1; ESPAGNOL LV2; HUMAN.LITTER.PHILO.; HIST.GEO.GEOPOL.S.P.;;
45;F;ANGLAIS LV1; ESPAGNOL LV2; ARTS PLASTIQUES; HIST.GEO.GEOPOL.S.P.; ANGLAIS LV SECTION;
46;G;ANGLAIS LV1; ESPAGNOL LV2; MATHEMATIQUES; NUMERIQUE SC.INFORM.;;
47;G;ANGLAIS LV1; ALLEMAND LV2; HIST.GEO.GEOPOL.S.P.; SC. ECONO.& SOCIALES; MATHS COMPLEMENTAIRE;
48;F;ANGLAIS LV1; ESPAGNOL LV2; SC. ECONO.& SOCIALES; HIST.GEO.GEOPOL.S.P.; ARTS PLASTIQUES;
